NAME,B08006_001E,B08006_017E,B28002_001E,B28002_004E,B19013_001E,B23025_003E,B23025_005E,B01003_001E,C24030_001E,C24030_013E,C24030_040E,C24030_015E,C24030_042E,C24030_018E,C24030_045E,C24030_019E,C24030_046E,state,county,year
"Glascock County, Georgia",1256.0,34.0,1045,612,53125.0,1303.0,20.0,2903,1283.0,12.0,6.0,22.0,19.0,10.0,7.0,0.0,0.0,13,125,2021
"Glynn County, Georgia",37690.0,2344.0,33401,27408,60775.0,40123.0,1736.0,84373,38387.0,265.0,204.0,310.0,678.0,1390.0,961.0,52.0,0.0,13,127,2021
"Gordon County, Georgia",25441.0,1381.0,20183,15135,50520.0,26618.0,811.0,57274,25807.0,251.0,156.0,250.0,449.0,203.0,230.0,0.0,0.0,13,129,2021
"Grady County, Georgia",10581.0,240.0,9760,7585,47721.0,11436.0,305.0,26076,11131.0,39.0,39.0,154.0,177.0,167.0,229.0,0.0,0.0,13,131,2021
"Greene County, Georgia",7141.0,605.0,7324,5657,65759.0,7703.0,427.0,18461,7276.0,78.0,13.0,208.0,45.0,192.0,165.0,0.0,0.0,13,133,2021
"Gwinnett County, Georgia",457329.0,54486.0,313172,285599,75853.0,495041.0,20087.0,948505,474954.0,8596.0,4205.0,9650.0,14219.0,24447.0,16732.0,649.0,691.0,13,135,2021
"Habersham County, Georgia",19718.0,1228.0,15123,12189,56680.0,20850.0,507.0,45767,20343.0,329.0,466.0,259.0,275.0,498.0,405.0,0.0,3.0,13,137,2021
"Hall County, Georgia",96275.0,7016.0,67241,60923,67571.0,101014.0,3630.0,201703,97384.0,828.0,558.0,1323.0,1864.0,2862.0,2037.0,0.0,157.0,13,139,2021
"Hancock County, Georgia",2283.0,197.0,2869,1397,33946.0,2391.0,52.0,8652,2339.0,24.0,19.0,2.0,133.0,52.0,4.0,0.0,0.0,13,141,2021
"Haralson County, Georgia",13667.0,855.0,11240,9282,57752.0,14606.0,716.0,29685,13890.0,147.0,22.0,38.0,368.0,268.0,301.0,10.0,2.0,13,143,2021
"Harris County, Georgia",15537.0,938.0,12194,10454,82244.0,16670.0,1072.0,34316,15598.0,206.0,70.0,469.0,711.0,534.0,345.0,0.0,9.0,13,145,2021
"Hart County, Georgia",10197.0,610.0,10111,7889,54506.0,10829.0,606.0,25808,10223.0,53.0,26.0,64.0,236.0,90.0,325.0,0.0,0.0,13,147,2021
"Heard County, Georgia",4401.0,146.0,4285,3053,55635.0,4980.0,352.0,11440,4628.0,14.0,0.0,38.0,27.0,140.0,85.0,0.0,0.0,13,149,2021
"Henry County, Georgia",112415.0,10939.0,80672,72003,73491.0,123047.0,7719.0,236615,115328.0,1589.0,805.0,1000.0,2656.0,2293.0,3663.0,76.0,97.0,13,151,2021
"Houston County, Georgia",76641.0,4026.0,59627,53347,70313.0,78109.0,4236.0,161177,73873.0,379.0,623.0,959.0,2233.0,2057.0,2011.0,31.0,13.0,13,153,2021
"Irwin County, Georgia",4075.0,129.0,3604,2668,42312.0,4434.0,340.0,9615,4094.0,52.0,6.0,59.0,12.0,48.0,51.0,0.0,0.0,13,155,2021
"Jackson County, Georgia",34427.0,3060.0,24874,22140,73455.0,36539.0,1635.0,73839,34904.0,474.0,246.0,378.0,765.0,1135.0,1170.0,0.0,0.0,13,157,2021
"Jasper County, Georgia",5716.0,299.0,5300,3975,52322.0,6195.0,346.0,14478,5849.0,30.0,31.0,68.0,134.0,107.0,115.0,0.0,0.0,13,159,2021
"Jeff Davis County, Georgia",5614.0,65.0,5246,3796,39668.0,5967.0,304.0,14753,5663.0,34.0,91.0,41.0,110.0,49.0,144.0,0.0,0.0,13,161,2021
"Jefferson County, Georgia",6147.0,136.0,5625,4300,42238.0,6620.0,384.0,15708,6236.0,47.0,0.0,7.0,112.0,90.0,55.0,0.0,0.0,13,163,2021
"Jenkins County, Georgia",3251.0,375.0,3290,2221,29061.0,3515.0,143.0,8693,3372.0,0.0,5.0,54.0,157.0,70.0,12.0,0.0,0.0,13,165,2021
"Johnson County, Georgia",3251.0,56.0,3201,2226,46292.0,3751.0,435.0,9272,3316.0,0.0,6.0,10.0,45.0,25.0,37.0,1.0,0.0,13,167,2021
